Date,Price Index,Index Type
1/9/1994,101.5,Cereals
1/10/1994,103.7,Cereals
1/11/1994,102.6,Cereals
1/12/1994,105.3,Cereals
1/1/1995,105.8,Cereals
1/2/1995,104.9,Cereals
1/3/1995,104.3,Cereals
1/4/1995,105.2,Cereals
1/5/1995,109.6,Cereals
1/6/1995,116.7,Cereals
1/7/1995,124.9,Cereals
1/8/1995,122.3,Cereals
1/9/1995,128,Cereals
1/10/1995,135.6,Cereals
1/11/1995,135.8,Cereals
1/12/1995,139.1,Cereals
1/1/1996,140.1,Cereals
1/2/1996,143.8,Cereals
1/3/1996,146.3,Cereals
1/4/1996,160.1,Cereals
1/5/1996,167.7,Cereals
1/6/1996,158.5,Cereals
1/7/1996,153.1,Cereals
1/8/1996,144.7,Cereals
1/9/1996,126.3,Cereals
1/10/1996,119.8,Cereals
1/11/1996,113.9,Cereals
1/12/1996,114.4,Cereals
1/1/1997,114.6,Cereals
1/2/1997,115.5,Cereals
1/3/1997,118.9,Cereals
1/4/1997,119.1,Cereals
1/5/1997,115.6,Cereals
1/6/1997,109.4,Cereals
1/7/1997,104.8,Cereals
1/8/1997,110.4,Cereals
1/9/1997,109.6,Cereals
1/10/1997,110.8,Cereals
1/11/1997,108.7,Cereals
1/12/1997,107.5,Cereals
1/1/1998,106.1,Cereals
1/2/1998,106.1,Cereals
1/3/1998,106.8,Cereals
1/4/1998,102.9,Cereals
1/5/1998,101.9,Cereals
1/6/1998,100.1,Cereals
1/7/1998,97.4,Cereals
1/8/1998,91.7,Cereals
1/9/1998,91.5,Cereals
1/10/1998,97.9,Cereals
1/11/1998,98.7,Cereals
1/12/1998,96.6,Cereals
1/1/1999,97.1,Cereals
1/2/1999,93.4,Cereals
1/3/1999,93.7,Cereals
1/4/1999,91.5,Cereals
1/5/1999,90.1,Cereals
1/6/1999,91.3,Cereals
1/7/1999,87.9,Cereals
1/8/1999,90.4,Cereals
1/9/1999,89.5,Cereals
1/10/1999,87,Cereals
1/11/1999,86.5,Cereals
1/12/1999,84.7,Cereals
1/1/2000,87.1,Cereals
1/2/2000,88.2,Cereals
1/3/2000,86.7,Cereals
1/4/2000,86.1,Cereals
1/5/2000,86.3,Cereals
1/6/2000,82.5,Cereals
1/7/2000,78.6,Cereals
1/8/2000,77.8,Cereals
1/9/2000,80.8,Cereals
1/10/2000,84.9,Cereals
1/11/2000,86.2,Cereals
